25620759;41.1488;-8.612135;-0.1503101;0.718182
25632283;41.15503;-8.618997;-0.1504299;0.7182907
25632285;41.15416;-8.61333;-0.150331;0.7182757
25632292;41.15287;-8.613593;-0.1503356;0.7182531
25632401;41.15049;-8.608911;-0.1502538;0.7182115
25632374;41.15522;-8.611936;-0.1503066;0.7182941
25632375;41.15517;-8.610028;-0.1502733;0.7182932
25632404;41.14922;-8.6095;-0.1502641;0.7181893
25632413;41.15133;-8.604275;-0.1501729;0.7182263
25632403;41.14964;-8.609517;-0.1502644;0.7181967
25632426;41.15328;-8.602441;-0.1501409;0.7182602
25632427;41.15326;-8.600788;-0.1501121;0.7182599
25632448;41.1547;-8.603825;-0.1501651;0.718285
25632399;41.15111;-8.607389;-0.1502273;0.7182223
25632445;41.15228;-8.60487;-0.1501833;0.7182428
25632522;41.15454;-8.600574;-0.1501083;0.7182822
25632450;41.15508;-8.605576;-0.1501956;0.7182917
25632398;41.15092;-8.606738;-0.1502159;0.7182191
25632417;41.15117;-8.608475;-0.1502462;0.7182233
25632416;41.15231;-8.606874;-0.1502183;0.7182432
25632452;41.15442;-8.605941;-0.150202;0.7182801
122452417;41.16153;-8.601695;-0.1501279;0.7184042
128560274;41.1578;-8.612404;-0.1503148;0.7183391
128560275;41.15734;-8.612653;-0.1503191;0.7183312
128560448;41.16499;-8.610975;-0.1502899;0.7184646
128560449;41.16301;-8.611087;-0.1502918;0.71843
129548931;41.16409;-8.608547;-0.1502475;0.7184489
129548932;41.16443;-8.608523;-0.1502471;0.7184549
129549662;41.15663;-8.611903;-0.1503061;0.7183186
129552045;41.15679;-8.607672;-0.1502322;0.7183214
129552046;41.15759;-8.607174;-0.1502235;0.7183354
129552048;41.15917;-8.606129;-0.1502053;0.718363
137982795;41.15524;-8.619098;-0.1504316;0.7182944
137993249;41.16064;-8.611589;-0.1503006;0.7183886
137994581;41.15749;-8.608109;-0.1502399;0.7183338
137994720;41.15897;-8.608397;-0.1502449;0.7183595
137994655;41.15834;-8.606675;-0.1502148;0.7183486
138195760;41.15865;-8.593307;-0.1499815;0.718354
138196470;41.15928;-8.592937;-0.149975;0.718365
138205500;41.16532;-8.606357;-0.1502093;0.7184704
138208399;41.15905;-8.620139;-0.1504498;0.7183609
138208401;41.15864;-8.619913;-0.1504459;0.7183537
138252202;41.15691;-8.60008;-0.1500997;0.7183236
25632366;41.15168;-8.613873;-0.1503405;0.7182323
475396372;41.15574;-8.61192;-0.1503064;0.7183032
475396373;41.15573;-8.61158;-0.1503004;0.718303
475396375;41.15586;-8.610868;-0.150288;0.7183053
297369446;41.15095;-8.594198;-0.1499971;0.7182196
299610698;41.16432;-8.590618;-0.1499346;0.7184529
299610705;41.16571;-8.598514;-0.1500724;0.7184772
299610928;41.16463;-8.599323;-0.1500865;0.7184584
299610932;41.1652;-8.597468;-0.1500541;0.7184683
299610930;41.16383;-8.598489;-0.1500719;0.7184443
299610936;41.16428;-8.598958;-0.1500801;0.7184522
299610949;41.16366;-8.597753;-0.1500591;0.7184414
299611375;41.16367;-8.593452;-0.149984;0.7184415
299611377;41.1635;-8.593022;-0.1499765;0.7184386
299611379;41.16317;-8.592731;-0.1499715;0.7184328
299611381;41.16143;-8.59415;-0.1499962;0.7184024
299611382;41.1614;-8.593864;-0.1499912;0.718402
299611383;41.16141;-8.59364;-0.1499873;0.7184021
299611384;41.16149;-8.593434;-0.1499837;0.7184035
299611387;41.16185;-8.592836;-0.1499733;0.7184099
299611385;41.16161;-8.593185;-0.1499794;0.7184056
299611386;41.16172;-8.593006;-0.1499763;0.7184075
299611394;41.16362;-8.593228;-0.1499801;0.7184407
299611395;41.16334;-8.592868;-0.1499738;0.7184358
299611403;41.16369;-8.593656;-0.1499876;0.718442
299611401;41.16365;-8.59764;-0.1500571;0.7184412
299611499;41.16261;-8.593892;-0.1499917;0.7184231
299611503;41.16314;-8.593778;-0.1499897;0.7184322
299611581;41.16251;-8.593914;-0.1499921;0.7184213
299611634;41.16291;-8.592563;-0.1499685;0.7184283
299611684;41.16375;-8.598323;-0.150069;0.7184429
299611716;41.16475;-8.60035;-0.1501044;0.7184605
299612343;41.16215;-8.595682;-0.150023;0.718415
299612344;41.16194;-8.594037;-0.1499942;0.7184114
299612407;41.16243;-8.596418;-0.1500358;0.7184199
299614241;41.15663;-8.594469;-0.1500018;0.7183186
299614300;41.15619;-8.598369;-0.1500698;0.718311
299614301;41.15705;-8.598343;-0.1500694;0.718326
299614252;41.15921;-8.597707;-0.1500583;0.7183638
299614331;41.158;-8.596461;-0.1500366;0.7183425
299614398;41.15622;-8.595124;-0.1500132;0.7183115
299614401;41.15786;-8.596632;-0.1500395;0.7183402
299614420;41.15792;-8.595581;-0.1500212;0.7183412
299614513;41.15542;-8.598703;-0.1500757;0.7182976
299614515;41.15462;-8.598995;-0.1500808;0.7182836
299614524;41.15515;-8.598832;-0.1500779;0.7182929
299614527;41.1544;-8.598961;-0.1500802;0.7182797
299614518;41.15366;-8.598978;-0.1500805;0.7182668
316511863;41.16769;-8.610824;-0.1502872;0.7185117
343634647;41.1664;-8.603319;-0.1501562;0.7184892
343634630;41.16848;-8.596605;-0.1500391;0.7185255
343646660;41.16398;-8.605304;-0.1501909;0.718447
343646768;41.16458;-8.626095;-0.1505538;0.7184574
343646649;41.16541;-8.606366;-0.1502094;0.718472
343646669;41.16599;-8.600755;-0.1501115;0.7184821
343646709;41.16679;-8.610858;-0.1502878;0.718496
343646810;41.16436;-8.624329;-0.1505229;0.7184537
